OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2024-03-01,11,0,2024-03-01T18:00:00-00:00,2024-03-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,909.0095,ACTUAL,1
2024-03-01,24,0,2024-03-02T07:00:00-00:00,2024-03-02T08:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.26384,ACTUAL,1
2024-03-01,10,0,2024-03-01T17:00:00-00:00,2024-03-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,612.18759,ACTUAL,1
2024-03-01,15,0,2024-03-01T22:00:00-00:00,2024-03-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1001.04336,ACTUAL,1
2024-03-01,9,0,2024-03-01T16:00:00-00:00,2024-03-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,384.38871,ACTUAL,1
2024-03-01,20,0,2024-03-02T03:00:00-00:00,2024-03-02T04:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.56437,ACTUAL,1
2024-03-01,8,0,2024-03-01T15:00:00-00:00,2024-03-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,167.74943,ACTUAL,1
2024-03-01,12,0,2024-03-01T19:00:00-00:00,2024-03-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,881.79538,ACTUAL,1
2024-03-01,7,0,2024-03-01T14:00:00-00:00,2024-03-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,4.95773,ACTUAL,1
2024-03-01,19,0,2024-03-02T02:00:00-00:00,2024-03-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.08784,ACTUAL,1
2024-03-01,6,0,2024-03-01T13:00:00-00:00,2024-03-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.9626,ACTUAL,1
2024-03-01,14,0,2024-03-01T21:00:00-00:00,2024-03-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1085.12266,ACTUAL,1
2024-03-01,5,0,2024-03-01T12:00:00-00:00,2024-03-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.95012,ACTUAL,1
2024-03-01,18,0,2024-03-02T01:00:00-00:00,2024-03-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,76.91273,ACTUAL,1
2024-03-01,4,0,2024-03-01T11:00:00-00:00,2024-03-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.9923,ACTUAL,1
2024-03-01,23,0,2024-03-02T06:00:00-00:00,2024-03-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.30685,ACTUAL,1
2024-03-01,3,0,2024-03-01T10:00:00-00:00,2024-03-01T11:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.01906,ACTUAL,1
2024-03-01,17,0,2024-03-02T00:00:00-00:00,2024-03-02T01:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,382.07047,ACTUAL,1
2024-03-01,2,0,2024-03-01T09:00:00-00:00,2024-03-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.04072,ACTUAL,1
2024-03-01,13,0,2024-03-01T20:00:00-00:00,2024-03-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,889.63128,ACTUAL,1
2024-03-01,1,0,2024-03-01T08:00:00-00:00,2024-03-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.9551,ACTUAL,1
2024-03-01,16,0,2024-03-01T23:00:00-00:00,2024-03-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,790.67682,ACTUAL,1
2024-03-01,22,0,2024-03-02T05:00:00-00:00,2024-03-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.34467,ACTUAL,1
2024-03-01,21,0,2024-03-02T04:00:00-00:00,2024-03-02T05:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.33888,ACTUAL,1
2024-03-01,10,0,2024-03-01T17:00:00-00:00,2024-03-01T18:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,352.0286,ACTUAL,2
2024-03-01,9,0,2024-03-01T16:00:00-00:00,2024-03-01T17:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,320.56841,ACTUAL,2
