OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2023-02-01,13,0,2023-02-01T20:00:00-00:00,2023-02-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1253.14494,ACTUAL,1
2023-02-01,15,0,2023-02-01T22:00:00-00:00,2023-02-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1243.16467,ACTUAL,1
2023-02-01,12,0,2023-02-01T19:00:00-00:00,2023-02-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1348.66513,ACTUAL,1
2023-02-01,19,0,2023-02-02T02:00:00-00:00,2023-02-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-5.50551,ACTUAL,1
2023-02-01,11,0,2023-02-01T18:00:00-00:00,2023-02-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1352.5828,ACTUAL,1
2023-02-01,24,0,2023-02-02T07:00:00-00:00,2023-02-02T08:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.5825,ACTUAL,1
2023-02-01,10,0,2023-02-01T17:00:00-00:00,2023-02-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1359.0977,ACTUAL,1
2023-02-01,16,0,2023-02-01T23:00:00-00:00,2023-02-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1104.88353,ACTUAL,1
2023-02-01,9,0,2023-02-01T16:00:00-00:00,2023-02-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1045.88009,ACTUAL,1
2023-02-01,23,0,2023-02-02T06:00:00-00:00,2023-02-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.59109,ACTUAL,1
2023-02-01,8,0,2023-02-01T15:00:00-00:00,2023-02-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,184.42796,ACTUAL,1
2023-02-01,18,0,2023-02-02T01:00:00-00:00,2023-02-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,17.5378,ACTUAL,1
2023-02-01,7,0,2023-02-01T14:00:00-00:00,2023-02-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.28532,ACTUAL,1
