OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2024-05-01,11,0,2024-05-01T17:00:00-00:00,2024-05-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1546.84051,ACTUAL,1
2024-05-01,24,0,2024-05-02T06:00:00-00:00,2024-05-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.21343,ACTUAL,1
2024-05-01,10,0,2024-05-01T16:00:00-00:00,2024-05-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1437.02885,ACTUAL,1
2024-05-01,15,0,2024-05-01T21:00:00-00:00,2024-05-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1450.80745,ACTUAL,1
2024-05-01,9,0,2024-05-01T15:00:00-00:00,2024-05-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1423.56878,ACTUAL,1
2024-05-01,20,0,2024-05-02T02:00:00-00:00,2024-05-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,101.51187,ACTUAL,1
2024-05-01,8,0,2024-05-01T14:00:00-00:00,2024-05-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1006.73082,ACTUAL,1
2024-05-01,12,0,2024-05-01T18:00:00-00:00,2024-05-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1580.91353,ACTUAL,1
2024-05-01,7,0,2024-05-01T13:00:00-00:00,2024-05-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,160.48993,ACTUAL,1
2024-05-01,19,0,2024-05-02T01:00:00-00:00,2024-05-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,882.27925,ACTUAL,1
