OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2024-12-01,11,0,2024-12-01T18:00:00-00:00,2024-12-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1128.34524,ACTUAL,1
2024-12-01,24,0,2024-12-02T07:00:00-00:00,2024-12-02T08:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,296.70424,ACTUAL,1
2024-12-01,10,0,2024-12-01T17:00:00-00:00,2024-12-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,366.96773,ACTUAL,1
2024-12-01,15,0,2024-12-01T22:00:00-00:00,2024-12-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,591.25558,ACTUAL,1
2024-12-01,9,0,2024-12-01T16:00:00-00:00,2024-12-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,218.30552,ACTUAL,1
2024-12-01,20,0,2024-12-02T03:00:00-00:00,2024-12-02T04:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.82424,ACTUAL,1
2024-12-01,8,0,2024-12-01T15:00:00-00:00,2024-12-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,26.15565,ACTUAL,1
2024-12-01,12,0,2024-12-01T19:00:00-00:00,2024-12-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1021.3267,ACTUAL,1
2024-12-01,7,0,2024-12-01T14:00:00-00:00,2024-12-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.21705,ACTUAL,1
2024-12-01,19,0,2024-12-02T02:00:00-00:00,2024-12-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-11.71897,ACTUAL,1
2024-12-01,6,0,2024-12-01T13:00:00-00:00,2024-12-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.10304,ACTUAL,1
2024-12-01,14,0,2024-12-01T21:00:00-00:00,2024-12-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,634.68417,ACTUAL,1
2024-12-01,5,0,2024-12-01T12:00:00-00:00,2024-12-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.03725,ACTUAL,1
2024-12-01,18,0,2024-12-02T01:00:00-00:00,2024-12-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-30.90616,ACTUAL,1
2024-12-01,4,0,2024-12-01T11:00:00-00:00,2024-12-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-3.03639,ACTUAL,1
2024-12-01,23,0,2024-12-02T06:00:00-00:00,2024-12-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,296.87437,ACTUAL,1
2024-12-01,3,0,2024-12-01T10:00:00-00:00,2024-12-01T11:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.92476,ACTUAL,1
2024-12-01,17,0,2024-12-02T00:00:00-00:00,2024-12-02T01:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-168.67228,ACTUAL,1
2024-12-01,2,0,2024-12-01T09:00:00-00:00,2024-12-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.85735,ACTUAL,1
2024-12-01,13,0,2024-12-01T20:00:00-00:00,2024-12-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,699.36249,ACTUAL,1
2024-12-01,1,0,2024-12-01T08:00:00-00:00,2024-12-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-2.91537,ACTUAL,1
2024-12-01,16,0,2024-12-01T23:00:00-00:00,2024-12-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,166.49313,ACTUAL,1
2024-12-01,22,0,2024-12-02T05:00:00-00:00,2024-12-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,229.5718,ACTUAL,1
2024-12-01,21,0,2024-12-02T04:00:00-00:00,2024-12-02T05:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-1.24397,ACTUAL,1
2024-12-01,10,0,2024-12-01T17:00:00-00:00,2024-12-01T18:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,9.30101,ACTUAL,2
2024-12-01,9,0,2024-12-01T16:00:00-00:00,2024-12-01T17:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,27.1948,ACTUAL,2
2024-12-01,8,0,2024-12-01T15:00:00-00:00,2024-12-01T16:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,55.41897,ACTUAL,2
2024-12-01,7,0,2024-12-01T14:00:00-00:00,2024-12-01T15:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,45.83115,ACTUAL,2
2024-12-01,6,0,2024-12-01T13:00:00-00:00,2024-12-01T14:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,26.57121,ACTUAL,2
2024-12-01,5,0,2024-12-01T12:00:00-00:00,2024-12-01T13:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,13.20885,ACTUAL,2
2024-12-01,4,0,2024-12-01T11:00:00-00:00,2024-12-01T12:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,14.6664,ACTUAL,2
2024-12-01,3,0,2024-12-01T10:00:00-00:00,2024-12-01T11:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,7.07217,ACTUAL,2
2024-12-01,2,0,2024-12-01T09:00:00-00:00,2024-12-01T10:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,13.67162,ACTUAL,2
2024-12-01,1,0,2024-12-01T08:00:00-00:00,2024-12-01T09:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,30.87243,ACTUAL,2
2024-12-01,22,0,2024-12-02T05:00:00-00:00,2024-12-02T06:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,28.99137,ACTUAL,2
2024-12-01,21,0,2024-12-02T04:00:00-00:00,2024-12-02T05:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,29.71604,ACTUAL,2
2024-12-01,20,0,2024-12-02T03:00:00-00:00,2024-12-02T04:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,40.55495,ACTUAL,2
2024-12-01,19,0,2024-12-02T02:00:00-00:00,2024-12-02T03:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,50.10493,ACTUAL,2
2024-12-01,18,0,2024-12-02T01:00:00-00:00,2024-12-02T02:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,32.61989,ACTUAL,2
