OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2024-04-01,11,0,2024-04-01T17:00:00-00:00,2024-04-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,875.57646,ACTUAL,1
2024-04-01,24,0,2024-04-02T06:00:00-00:00,2024-04-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.38091,ACTUAL,1
2024-04-01,10,0,2024-04-01T16:00:00-00:00,2024-04-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,968.51661,ACTUAL,1
2024-04-01,15,0,2024-04-01T21:00:00-00:00,2024-04-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1117.90239,ACTUAL,1
2024-04-01,9,0,2024-04-01T15:00:00-00:00,2024-04-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1083.37839,ACTUAL,1
2024-04-01,20,0,2024-04-02T02:00:00-00:00,2024-04-02T03:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8.35906,ACTUAL,1
2024-04-01,8,0,2024-04-01T14:00:00-00:00,2024-04-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,403.10151,ACTUAL,1
2024-04-01,12,0,2024-04-01T18:00:00-00:00,2024-04-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,971.1311,ACTUAL,1
2024-04-01,7,0,2024-04-01T13:00:00-00:00,2024-04-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-1.18099,ACTUAL,1
2024-04-01,19,0,2024-04-02T01:00:00-00:00,2024-04-02T02:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,528.29416,ACTUAL,1
2024-04-01,6,0,2024-04-01T12:00:00-00:00,2024-04-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.41862,ACTUAL,1
2024-04-01,14,0,2024-04-01T20:00:00-00:00,2024-04-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,970.20599,ACTUAL,1
2024-04-01,5,0,2024-04-01T11:00:00-00:00,2024-04-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.49587,ACTUAL,1
2024-04-01,18,0,2024-04-02T00:00:00-00:00,2024-04-02T01:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1057.67871,ACTUAL,1
2024-04-01,4,0,2024-04-01T10:00:00-00:00,2024-04-01T11:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.54651,ACTUAL,1
2024-04-01,23,0,2024-04-02T05:00:00-00:00,2024-04-02T06:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.32864,ACTUAL,1
2024-04-01,3,0,2024-04-01T09:00:00-00:00,2024-04-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.5571,ACTUAL,1
2024-04-01,17,0,2024-04-01T23:00:00-00:00,2024-04-02T00:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1036.26447,ACTUAL,1
2024-04-01,2,0,2024-04-01T08:00:00-00:00,2024-04-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.56322,ACTUAL,1
2024-04-01,13,0,2024-04-01T19:00:00-00:00,2024-04-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,977.11961,ACTUAL,1
2024-04-01,1,0,2024-04-01T07:00:00-00:00,2024-04-01T08:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.50919,ACTUAL,1
2024-04-01,16,0,2024-04-01T22:00:00-00:00,2024-04-01T23:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1040.19172,ACTUAL,1
2024-04-01,22,0,2024-04-02T04:00:00-00:00,2024-04-02T05:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-4.61212,ACTUAL,1
2024-04-01,21,0,2024-04-02T03:00:00-00:00,2024-04-02T04:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-5.61821,ACTUAL,1
2024-04-01,10,0,2024-04-01T16:00:00-00:00,2024-04-01T17:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,242.76824,ACTUAL,2
2024-04-01,9,0,2024-04-01T15:00:00-00:00,2024-04-01T16:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,208.26977,ACTUAL,2
2024-04-01,8,0,2024-04-01T14:00:00-00:00,2024-04-01T15:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,246.21843,ACTUAL,2
2024-04-01,7,0,2024-04-01T13:00:00-00:00,2024-04-01T14:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,289.19375,ACTUAL,2
2024-04-01,6,0,2024-04-01T12:00:00-00:00,2024-04-01T13:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,202.77061,ACTUAL,2
2024-04-01,5,0,2024-04-01T11:00:00-00:00,2024-04-01T12:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,146.36285,ACTUAL,2
2024-04-01,4,0,2024-04-01T10:00:00-00:00,2024-04-01T11:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,121.21858,ACTUAL,2
2024-04-01,3,0,2024-04-01T09:00:00-00:00,2024-04-01T10:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,162.08091,ACTUAL,2
2024-04-01,2,0,2024-04-01T08:00:00-00:00,2024-04-01T09:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,213.04755,ACTUAL,2
2024-04-01,1,0,2024-04-01T07:00:00-00:00,2024-04-01T08:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,250.69759,ACTUAL,2
2024-04-01,22,0,2024-04-02T04:00:00-00:00,2024-04-02T05:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,306.77712,ACTUAL,2
2024-04-01,21,0,2024-04-02T03:00:00-00:00,2024-04-02T04:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,257.54162,ACTUAL,2
2024-04-01,20,0,2024-04-02T02:00:00-00:00,2024-04-02T03:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,95.45375,ACTUAL,2
2024-04-01,19,0,2024-04-02T01:00:00-00:00,2024-04-02T02:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,18.67123,ACTUAL,2
2024-04-01,18,0,2024-04-02T00:00:00-00:00,2024-04-02T01:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,19.2986,ACTUAL,2
2024-04-01,17,0,2024-04-01T23:00:00-00:00,2024-04-02T00:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,57.48523,ACTUAL,2
2024-04-01,16,0,2024-04-01T22:00:00-00:00,2024-04-01T23:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,48.5237,ACTUAL,2
2024-04-01,15,0,2024-04-01T21:00:00-00:00,2024-04-01T22:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,98.89759,ACTUAL,2
2024-04-01,14,0,2024-04-01T20:00:00-00:00,2024-04-01T21:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,120.68259,ACTUAL,2
2024-04-01,13,0,2024-04-01T19:00:00-00:00,2024-04-01T20:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,191.73087,ACTUAL,2
2024-04-01,12,0,2024-04-01T18:00:00-00:00,2024-04-01T19:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,235.13959,ACTUAL,2
2024-04-01,24,0,2024-04-02T06:00:00-00:00,2024-04-02T07:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,497.66943,ACTUAL,2
2024-04-01,11,0,2024-04-01T17:00:00-00:00,2024-04-01T18:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,339.31669,ACTUAL,2
2024-04-01,23,0,2024-04-02T05:00:00-00:00,2024-04-02T06:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,441.39727,ACTUAL,2
2024-04-01,22,0,2024-04-02T04:00:00-00:00,2024-04-02T05:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-38.76351,ACTUAL,3
2024-04-01,23,0,2024-04-02T05:00:00-00:00,2024-04-02T06:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-38.58865,ACTUAL,3
2024-04-01,24,0,2024-04-02T06:00:00-00:00,2024-04-02T07:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-39.09033,ACTUAL,3
2024-04-01,12,0,2024-04-01T18:00:00-00:00,2024-04-01T19:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8514.69941,ACTUAL,3
2024-04-01,13,0,2024-04-01T19:00:00-00:00,2024-04-01T20:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8768.75517,ACTUAL,3
2024-04-01,14,0,2024-04-01T20:00:00-00:00,2024-04-01T21:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8659.78055,ACTUAL,3
2024-04-01,15,0,2024-04-01T21:00:00-00:00,2024-04-01T22:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8579.67516,ACTUAL,3
2024-04-01,16,0,2024-04-01T22:00:00-00:00,2024-04-01T23:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,8241.51833,ACTUAL,3
2024-04-01,17,0,2024-04-01T23:00:00-00:00,2024-04-02T00:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,6671.97027,ACTUAL,3
2024-04-01,18,0,2024-04-02T00:00:00-00:00,2024-04-02T01:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,5342.34942,ACTUAL,3
2024-04-01,19,0,2024-04-02T01:00:00-00:00,2024-04-02T02:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1774.78437,ACTUAL,3
2024-04-01,20,0,2024-04-02T02:00:00-00:00,2024-04-02T03:00:00-00:00,SP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,113.34079,ACTUAL,3
