INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2023-12-01T09:00:00-00:00,2023-12-01T10:00:00-00:00,0,2023-12-01,2,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1277,ACTUAL,1
2023-12-02T01:00:00-00:00,2023-12-02T02:00:00-00:00,0,2023-12-01,18,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1681,ACTUAL,1
2023-12-02T02:00:00-00:00,2023-12-02T03:00:00-00:00,0,2023-12-01,19,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1637,ACTUAL,1
2023-12-02T03:00:00-00:00,2023-12-02T04:00:00-00:00,0,2023-12-01,20,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1596,ACTUAL,1
2023-12-02T05:00:00-00:00,2023-12-02T06:00:00-00:00,0,2023-12-01,22,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1477,ACTUAL,1
2023-12-01T15:00:00-00:00,2023-12-01T16:00:00-00:00,0,2023-12-01,8,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1645,ACTUAL,1
2023-12-01T17:00:00-00:00,2023-12-01T18:00:00-00:00,0,2023-12-01,10,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1659,ACTUAL,1
2023-12-01T18:00:00-00:00,2023-12-01T19:00:00-00:00,0,2023-12-01,11,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1656,ACTUAL,1
2023-12-01T20:00:00-00:00,2023-12-01T21:00:00-00:00,0,2023-12-01,13,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1652,ACTUAL,1
2023-12-01T16:00:00-00:00,2023-12-01T17:00:00-00:00,0,2023-12-01,9,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1656,ACTUAL,1
2023-12-01T13:00:00-00:00,2023-12-01T14:00:00-00:00,0,2023-12-01,6,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1431,ACTUAL,1
