INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2023-08-01T23:00:00-00:00,2023-08-02T00:00:00-00:00,0,2023-08-01,17,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1763,ACTUAL,1
2023-08-02T04:00:00-00:00,2023-08-02T05:00:00-00:00,0,2023-08-01,22,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1425,ACTUAL,1
2023-08-01T15:00:00-00:00,2023-08-01T16:00:00-00:00,0,2023-08-01,9,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1232,ACTUAL,1
2023-08-02T00:00:00-00:00,2023-08-02T01:00:00-00:00,0,2023-08-01,18,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1784,ACTUAL,1
2023-08-01T09:00:00-00:00,2023-08-01T10:00:00-00:00,0,2023-08-01,3,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,903,ACTUAL,1
2023-08-01T10:00:00-00:00,2023-08-01T11:00:00-00:00,0,2023-08-01,4,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,893,ACTUAL,1
2023-08-01T19:00:00-00:00,2023-08-01T20:00:00-00:00,0,2023-08-01,13,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1520,ACTUAL,1
2023-08-01T13:00:00-00:00,2023-08-01T14:00:00-00:00,0,2023-08-01,7,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1074,ACTUAL,1
2023-08-01T20:00:00-00:00,2023-08-01T21:00:00-00:00,0,2023-08-01,14,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1591,ACTUAL,1
2023-08-01T22:00:00-00:00,2023-08-01T23:00:00-00:00,0,2023-08-01,16,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1714,ACTUAL,1
2023-08-02T02:00:00-00:00,2023-08-02T03:00:00-00:00,0,2023-08-01,20,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1674,ACTUAL,1
2023-08-02T05:00:00-00:00,2023-08-02T06:00:00-00:00,0,2023-08-01,23,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1269,ACTUAL,1
2023-08-02T06:00:00-00:00,2023-08-02T07:00:00-00:00,0,2023-08-01,24,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1131,ACTUAL,1
2023-08-01T18:00:00-00:00,2023-08-01T19:00:00-00:00,0,2023-08-01,12,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1443,ACTUAL,1
2023-08-01T08:00:00-00:00,2023-08-01T09:00:00-00:00,0,2023-08-01,2,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,940,ACTUAL,1
2023-08-01T11:00:00-00:00,2023-08-01T12:00:00-00:00,0,2023-08-01,5,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,921,ACTUAL,1
2023-08-01T14:00:00-00:00,2023-08-01T15:00:00-00:00,0,2023-08-01,8,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1161,ACTUAL,1
2023-08-01T16:00:00-00:00,2023-08-01T17:00:00-00:00,0,2023-08-01,10,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1299,ACTUAL,1
