INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2023-05-01T08:00:00-00:00,2023-05-01T09:00:00-00:00,0,2023-05-01,2,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,779,ACTUAL,1
2023-05-01T10:00:00-00:00,2023-05-01T11:00:00-00:00,0,2023-05-01,4,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,768,ACTUAL,1
2023-05-02T06:00:00-00:00,2023-05-02T07:00:00-00:00,0,2023-05-01,24,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,860,ACTUAL,1
2023-05-02T04:00:00-00:00,2023-05-02T05:00:00-00:00,0,2023-05-01,22,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1062,ACTUAL,1
2023-05-02T00:00:00-00:00,2023-05-02T01:00:00-00:00,0,2023-05-01,18,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1198,ACTUAL,1
2023-05-01T21:00:00-00:00,2023-05-01T22:00:00-00:00,0,2023-05-01,15,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1153,ACTUAL,1
2023-05-01T19:00:00-00:00,2023-05-01T20:00:00-00:00,0,2023-05-01,13,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1145,ACTUAL,1
2023-05-01T18:00:00-00:00,2023-05-01T19:00:00-00:00,0,2023-05-01,12,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1132,ACTUAL,1
2023-05-01T17:00:00-00:00,2023-05-01T18:00:00-00:00,0,2023-05-01,11,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1122,ACTUAL,1
2023-05-01T14:00:00-00:00,2023-05-01T15:00:00-00:00,0,2023-05-01,8,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1091,ACTUAL,1
2023-05-01T07:00:00-00:00,2023-05-01T08:00:00-00:00,0,2023-05-01,1,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,815,ACTUAL,1
2023-05-02T03:00:00-00:00,2023-05-02T04:00:00-00:00,0,2023-05-01,21,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1148,ACTUAL,1
2023-05-02T02:00:00-00:00,2023-05-02T03:00:00-00:00,0,2023-05-01,20,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1169,ACTUAL,1
2023-05-01T20:00:00-00:00,2023-05-01T21:00:00-00:00,0,2023-05-01,14,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1151,ACTUAL,1
2023-05-01T15:00:00-00:00,2023-05-01T16:00:00-00:00,0,2023-05-01,9,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1111,ACTUAL,1
2023-05-01T12:00:00-00:00,2023-05-01T13:00:00-00:00,0,2023-05-01,6,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,904,ACTUAL,1
2023-05-01T11:00:00-00:00,2023-05-01T12:00:00-00:00,0,2023-05-01,5,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,809,ACTUAL,1
2023-05-02T01:00:00-00:00,2023-05-02T02:00:00-00:00,0,2023-05-01,19,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1188,ACTUAL,1
2023-05-01T13:00:00-00:00,2023-05-01T14:00:00-00:00,0,2023-05-01,7,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1016,ACTUAL,1
2023-05-01T09:00:00-00:00,2023-05-01T10:00:00-00:00,0,2023-05-01,3,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,764,ACTUAL,1
2023-05-02T05:00:00-00:00,2023-05-02T06:00:00-00:00,0,2023-05-01,23,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,943,ACTUAL,1
2023-05-01T23:00:00-00:00,2023-05-02T00:00:00-00:00,0,2023-05-01,17,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1177,ACTUAL,1
2023-05-01T22:00:00-00:00,2023-05-01T23:00:00-00:00,0,2023-05-01,16,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1160,ACTUAL,1
2023-05-01T16:00:00-00:00,2023-05-01T17:00:00-00:00,0,2023-05-01,10,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1118,ACTUAL,1
2023-05-02T04:00:00-00:00,2023-05-02T05:00:00-00:00,0,2023-05-01,22,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-02T06:00:00-00:00,2023-05-02T07:00:00-00:00,0,2023-05-01,24,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T13:00:00-00:00,2023-05-01T14:00:00-00:00,0,2023-05-01,7,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T19:00:00-00:00,2023-05-01T20:00:00-00:00,0,2023-05-01,13,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-02T03:00:00-00:00,2023-05-02T04:00:00-00:00,0,2023-05-01,21,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T21:00:00-00:00,2023-05-01T22:00:00-00:00,0,2023-05-01,15,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-02T02:00:00-00:00,2023-05-02T03:00:00-00:00,0,2023-05-01,20,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-02T05:00:00-00:00,2023-05-02T06:00:00-00:00,0,2023-05-01,23,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T16:00:00-00:00,2023-05-01T17:00:00-00:00,0,2023-05-01,10,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T11:00:00-00:00,2023-05-01T12:00:00-00:00,0,2023-05-01,5,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T10:00:00-00:00,2023-05-01T11:00:00-00:00,0,2023-05-01,4,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T18:00:00-00:00,2023-05-01T19:00:00-00:00,0,2023-05-01,12,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T17:00:00-00:00,2023-05-01T18:00:00-00:00,0,2023-05-01,11,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T15:00:00-00:00,2023-05-01T16:00:00-00:00,0,2023-05-01,9,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T09:00:00-00:00,2023-05-01T10:00:00-00:00,0,2023-05-01,3,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-02T01:00:00-00:00,2023-05-02T02:00:00-00:00,0,2023-05-01,19,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T07:00:00-00:00,2023-05-01T08:00:00-00:00,0,2023-05-01,1,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T12:00:00-00:00,2023-05-01T13:00:00-00:00,0,2023-05-01,6,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-02T00:00:00-00:00,2023-05-02T01:00:00-00:00,0,2023-05-01,18,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T08:00:00-00:00,2023-05-01T09:00:00-00:00,0,2023-05-01,2,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T22:00:00-00:00,2023-05-01T23:00:00-00:00,0,2023-05-01,16,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T20:00:00-00:00,2023-05-01T21:00:00-00:00,0,2023-05-01,14,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T14:00:00-00:00,2023-05-01T15:00:00-00:00,0,2023-05-01,8,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T23:00:00-00:00,2023-05-02T00:00:00-00:00,0,2023-05-01,17,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2023-05-01T12:00:00-00:00,2023-05-01T13:00:00-00:00,0,2023-05-01,6,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3003,ACTUAL,3
2023-05-01T11:00:00-00:00,2023-05-01T12:00:00-00:00,0,2023-05-01,5,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2885,ACTUAL,3
2023-05-01T16:00:00-00:00,2023-05-01T17:00:00-00:00,0,2023-05-01,10,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3024,ACTUAL,3
2023-05-01T20:00:00-00:00,2023-05-01T21:00:00-00:00,0,2023-05-01,14,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3653,ACTUAL,3
2023-05-02T01:00:00-00:00,2023-05-02T02:00:00-00:00,0,2023-05-01,19,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4357,ACTUAL,3
2023-05-01T09:00:00-00:00,2023-05-01T10:00:00-00:00,0,2023-05-01,3,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2903,ACTUAL,3
2023-05-01T22:00:00-00:00,2023-05-01T23:00:00-00:00,0,2023-05-01,16,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4088,ACTUAL,3
2023-05-02T02:00:00-00:00,2023-05-02T03:00:00-00:00,0,2023-05-01,20,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4288,ACTUAL,3
2023-05-02T03:00:00-00:00,2023-05-02T04:00:00-00:00,0,2023-05-01,21,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4114,ACTUAL,3
2023-05-02T06:00:00-00:00,2023-05-02T07:00:00-00:00,0,2023-05-01,24,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3211,ACTUAL,3
2023-05-01T08:00:00-00:00,2023-05-01T09:00:00-00:00,0,2023-05-01,2,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3026,ACTUAL,3
2023-05-01T10:00:00-00:00,2023-05-01T11:00:00-00:00,0,2023-05-01,4,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2846,ACTUAL,3
2023-05-01T13:00:00-00:00,2023-05-01T14:00:00-00:00,0,2023-05-01,7,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3120,ACTUAL,3
2023-05-01T14:00:00-00:00,2023-05-01T15:00:00-00:00,0,2023-05-01,8,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3152,ACTUAL,3
2023-05-01T15:00:00-00:00,2023-05-01T16:00:00-00:00,0,2023-05-01,9,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3080,ACTUAL,3
2023-05-02T05:00:00-00:00,2023-05-02T06:00:00-00:00,0,2023-05-01,23,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3518,ACTUAL,3
2023-05-01T18:00:00-00:00,2023-05-01T19:00:00-00:00,0,2023-05-01,12,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3294,ACTUAL,3
2023-05-01T21:00:00-00:00,2023-05-01T22:00:00-00:00,0,2023-05-01,15,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3875,ACTUAL,3
2023-05-02T00:00:00-00:00,2023-05-02T01:00:00-00:00,0,2023-05-01,18,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4393,ACTUAL,3
2023-05-01T19:00:00-00:00,2023-05-01T20:00:00-00:00,0,2023-05-01,13,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3466,ACTUAL,3
2023-05-01T23:00:00-00:00,2023-05-02T00:00:00-00:00,0,2023-05-01,17,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,4280,ACTUAL,3
2023-05-02T04:00:00-00:00,2023-05-02T05:00:00-00:00,0,2023-05-01,22,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3843,ACTUAL,3
2023-05-01T07:00:00-00:00,2023-05-01T08:00:00-00:00,0,2023-05-01,1,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3216,ACTUAL,3
2023-05-01T17:00:00-00:00,2023-05-01T18:00:00-00:00,0,2023-05-01,11,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3124,ACTUAL,3
2023-05-02T04:00:00-00:00,2023-05-02T05:00:00-00:00,0,2023-05-01,22,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1622,ACTUAL,4
2023-05-01T12:00:00-00:00,2023-05-01T13:00:00-00:00,0,2023-05-01,6,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1628,ACTUAL,4
2023-05-01T18:00:00-00:00,2023-05-01T19:00:00-00:00,0,2023-05-01,12,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1814,ACTUAL,4
2023-05-02T01:00:00-00:00,2023-05-02T02:00:00-00:00,0,2023-05-01,19,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1845,ACTUAL,4
2023-05-01T11:00:00-00:00,2023-05-01T12:00:00-00:00,0,2023-05-01,5,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1496,ACTUAL,4
2023-05-01T08:00:00-00:00,2023-05-01T09:00:00-00:00,0,2023-05-01,2,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1343,ACTUAL,4
2023-05-01T10:00:00-00:00,2023-05-01T11:00:00-00:00,0,2023-05-01,4,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1402,ACTUAL,4
2023-05-01T13:00:00-00:00,2023-05-01T14:00:00-00:00,0,2023-05-01,7,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1733,ACTUAL,4
