INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-03-02T00:00:00-00:00,2024-03-02T01:00:00-00:00,0,2024-03-01,17,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1421,ACTUAL,1
2024-03-02T07:00:00-00:00,2024-03-02T08:00:00-00:00,0,2024-03-01,24,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1228,ACTUAL,1
2024-03-01T08:00:00-00:00,2024-03-01T09:00:00-00:00,0,2024-03-01,1,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1196,ACTUAL,1
2024-03-02T01:00:00-00:00,2024-03-02T02:00:00-00:00,0,2024-03-01,18,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1476,ACTUAL,1
2024-03-01T22:00:00-00:00,2024-03-01T23:00:00-00:00,0,2024-03-01,15,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1361,ACTUAL,1
2024-03-01T21:00:00-00:00,2024-03-01T22:00:00-00:00,0,2024-03-01,14,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1355,ACTUAL,1
2024-03-01T19:00:00-00:00,2024-03-01T20:00:00-00:00,0,2024-03-01,12,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1394,ACTUAL,1
2024-03-01T15:00:00-00:00,2024-03-01T16:00:00-00:00,0,2024-03-01,8,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1544,ACTUAL,1
2024-03-01T18:00:00-00:00,2024-03-01T19:00:00-00:00,0,2024-03-01,11,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1452,ACTUAL,1
2024-03-01T10:00:00-00:00,2024-03-01T11:00:00-00:00,0,2024-03-01,3,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1164,ACTUAL,1
2024-03-02T06:00:00-00:00,2024-03-02T07:00:00-00:00,0,2024-03-01,23,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1291,ACTUAL,1
2024-03-01T13:00:00-00:00,2024-03-01T14:00:00-00:00,0,2024-03-01,6,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1335,ACTUAL,1
2024-03-01T11:00:00-00:00,2024-03-01T12:00:00-00:00,0,2024-03-01,4,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1173,ACTUAL,1
2024-03-02T04:00:00-00:00,2024-03-02T05:00:00-00:00,0,2024-03-01,21,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1415,ACTUAL,1
2024-03-01T23:00:00-00:00,2024-03-02T00:00:00-00:00,0,2024-03-01,16,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1367,ACTUAL,1
2024-03-01T20:00:00-00:00,2024-03-01T21:00:00-00:00,0,2024-03-01,13,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1366,ACTUAL,1
2024-03-02T05:00:00-00:00,2024-03-02T06:00:00-00:00,0,2024-03-01,22,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1355,ACTUAL,1
2024-03-01T16:00:00-00:00,2024-03-01T17:00:00-00:00,0,2024-03-01,9,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1538,ACTUAL,1
2024-03-01T09:00:00-00:00,2024-03-01T10:00:00-00:00,0,2024-03-01,2,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1174,ACTUAL,1
2024-03-01T14:00:00-00:00,2024-03-01T15:00:00-00:00,0,2024-03-01,7,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1467,ACTUAL,1
2024-03-01T12:00:00-00:00,2024-03-01T13:00:00-00:00,0,2024-03-01,5,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1225,ACTUAL,1
2024-03-01T17:00:00-00:00,2024-03-01T18:00:00-00:00,0,2024-03-01,10,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1503,ACTUAL,1
2024-03-02T02:00:00-00:00,2024-03-02T03:00:00-00:00,0,2024-03-01,19,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1485,ACTUAL,1
2024-03-02T03:00:00-00:00,2024-03-02T04:00:00-00:00,0,2024-03-01,20,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1459,ACTUAL,1
2024-03-02T03:00:00-00:00,2024-03-02T04:00:00-00:00,0,2024-03-01,20,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-02T01:00:00-00:00,2024-03-02T02:00:00-00:00,0,2024-03-01,18,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T21:00:00-00:00,2024-03-01T22:00:00-00:00,0,2024-03-01,14,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T17:00:00-00:00,2024-03-01T18:00:00-00:00,0,2024-03-01,10,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T12:00:00-00:00,2024-03-01T13:00:00-00:00,0,2024-03-01,5,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T09:00:00-00:00,2024-03-01T10:00:00-00:00,0,2024-03-01,2,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-02T07:00:00-00:00,2024-03-02T08:00:00-00:00,0,2024-03-01,24,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-02T00:00:00-00:00,2024-03-02T01:00:00-00:00,0,2024-03-01,17,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T19:00:00-00:00,2024-03-01T20:00:00-00:00,0,2024-03-01,12,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T14:00:00-00:00,2024-03-01T15:00:00-00:00,0,2024-03-01,7,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T11:00:00-00:00,2024-03-01T12:00:00-00:00,0,2024-03-01,4,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-02T06:00:00-00:00,2024-03-02T07:00:00-00:00,0,2024-03-01,23,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T23:00:00-00:00,2024-03-02T00:00:00-00:00,0,2024-03-01,16,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T16:00:00-00:00,2024-03-01T17:00:00-00:00,0,2024-03-01,9,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T15:00:00-00:00,2024-03-01T16:00:00-00:00,0,2024-03-01,8,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-02T05:00:00-00:00,2024-03-02T06:00:00-00:00,0,2024-03-01,22,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-02T04:00:00-00:00,2024-03-02T05:00:00-00:00,0,2024-03-01,21,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T10:00:00-00:00,2024-03-01T11:00:00-00:00,0,2024-03-01,3,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T18:00:00-00:00,2024-03-01T19:00:00-00:00,0,2024-03-01,11,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T13:00:00-00:00,2024-03-01T14:00:00-00:00,0,2024-03-01,6,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-02T02:00:00-00:00,2024-03-02T03:00:00-00:00,0,2024-03-01,19,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T22:00:00-00:00,2024-03-01T23:00:00-00:00,0,2024-03-01,15,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T20:00:00-00:00,2024-03-01T21:00:00-00:00,0,2024-03-01,13,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T08:00:00-00:00,2024-03-01T09:00:00-00:00,0,2024-03-01,1,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-03-01T13:00:00-00:00,2024-03-01T14:00:00-00:00,0,2024-03-01,6,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3446,ACTUAL,3
2024-03-01T18:00:00-00:00,2024-03-01T19:00:00-00:00,0,2024-03-01,11,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2344,ACTUAL,3
2024-03-02T00:00:00-00:00,2024-03-02T01:00:00-00:00,0,2024-03-01,17,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3187,ACTUAL,3
2024-03-01T21:00:00-00:00,2024-03-01T22:00:00-00:00,0,2024-03-01,14,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2362,ACTUAL,3
2024-03-01T22:00:00-00:00,2024-03-01T23:00:00-00:00,0,2024-03-01,15,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2541,ACTUAL,3
2024-03-02T05:00:00-00:00,2024-03-02T06:00:00-00:00,0,2024-03-01,22,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3217,ACTUAL,3
2024-03-01T11:00:00-00:00,2024-03-01T12:00:00-00:00,0,2024-03-01,4,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2902,ACTUAL,3
2024-03-01T17:00:00-00:00,2024-03-01T18:00:00-00:00,0,2024-03-01,10,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2530,ACTUAL,3
2024-03-01T23:00:00-00:00,2024-03-02T00:00:00-00:00,0,2024-03-01,16,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2833,ACTUAL,3
2024-03-02T02:00:00-00:00,2024-03-02T03:00:00-00:00,0,2024-03-01,19,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3532,ACTUAL,3
2024-03-01T08:00:00-00:00,2024-03-01T09:00:00-00:00,0,2024-03-01,1,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2829,ACTUAL,3
2024-03-01T09:00:00-00:00,2024-03-01T10:00:00-00:00,0,2024-03-01,2,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2803,ACTUAL,3
2024-03-01T10:00:00-00:00,2024-03-01T11:00:00-00:00,0,2024-03-01,3,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2815,ACTUAL,3
2024-03-01T14:00:00-00:00,2024-03-01T15:00:00-00:00,0,2024-03-01,7,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3482,ACTUAL,3
2024-03-01T15:00:00-00:00,2024-03-01T16:00:00-00:00,0,2024-03-01,8,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3175,ACTUAL,3
2024-03-02T07:00:00-00:00,2024-03-02T08:00:00-00:00,0,2024-03-01,24,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2927,ACTUAL,3
2024-03-01T12:00:00-00:00,2024-03-01T13:00:00-00:00,0,2024-03-01,5,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3128,ACTUAL,3
2024-03-01T16:00:00-00:00,2024-03-01T17:00:00-00:00,0,2024-03-01,9,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2793,ACTUAL,3
2024-03-01T19:00:00-00:00,2024-03-01T20:00:00-00:00,0,2024-03-01,12,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2262,ACTUAL,3
2024-03-01T20:00:00-00:00,2024-03-01T21:00:00-00:00,0,2024-03-01,13,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,2273,ACTUAL,3
2024-03-02T01:00:00-00:00,2024-03-02T02:00:00-00:00,0,2024-03-01,18,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3453,ACTUAL,3
2024-03-02T04:00:00-00:00,2024-03-02T05:00:00-00:00,0,2024-03-01,21,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,3374,ACTUAL,3
