INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-05-01T08:00:00-00:00,2024-05-01T09:00:00-00:00,0,2024-05-01,2,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1024,ACTUAL,1
2024-05-01T12:00:00-00:00,2024-05-01T13:00:00-00:00,0,2024-05-01,6,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1207,ACTUAL,1
2024-05-01T09:00:00-00:00,2024-05-01T10:00:00-00:00,0,2024-05-01,3,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1019,ACTUAL,1
2024-05-02T06:00:00-00:00,2024-05-02T07:00:00-00:00,0,2024-05-01,24,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1030,ACTUAL,1
2024-05-02T04:00:00-00:00,2024-05-02T05:00:00-00:00,0,2024-05-01,22,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1186,ACTUAL,1
2024-05-01T16:00:00-00:00,2024-05-01T17:00:00-00:00,0,2024-05-01,10,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1347,ACTUAL,1
2024-05-01T19:00:00-00:00,2024-05-01T20:00:00-00:00,0,2024-05-01,13,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1250,ACTUAL,1
2024-05-01T17:00:00-00:00,2024-05-01T18:00:00-00:00,0,2024-05-01,11,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1299,ACTUAL,1
2024-05-01T15:00:00-00:00,2024-05-01T16:00:00-00:00,0,2024-05-01,9,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1388,ACTUAL,1
2024-05-01T11:00:00-00:00,2024-05-01T12:00:00-00:00,0,2024-05-01,5,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1088,ACTUAL,1
2024-05-01T21:00:00-00:00,2024-05-01T22:00:00-00:00,0,2024-05-01,15,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1208,ACTUAL,1
2024-05-01T22:00:00-00:00,2024-05-01T23:00:00-00:00,0,2024-05-01,16,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1187,ACTUAL,1
2024-05-01T20:00:00-00:00,2024-05-01T21:00:00-00:00,0,2024-05-01,14,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1222,ACTUAL,1
2024-05-01T18:00:00-00:00,2024-05-01T19:00:00-00:00,0,2024-05-01,12,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1264,ACTUAL,1
2024-05-01T14:00:00-00:00,2024-05-01T15:00:00-00:00,0,2024-05-01,8,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1399,ACTUAL,1
2024-05-01T13:00:00-00:00,2024-05-01T14:00:00-00:00,0,2024-05-01,7,0,ACTUAL,AVA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1340,ACTUAL,1
