INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2023-05-01T10:00:00-00:00,2023-05-01T11:00:00-00:00,2023-05-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.14748,1
2023-05-02T00:00:00-00:00,2023-05-02T01:00:00-00:00,2023-05-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.59704,1
2023-05-01T20:00:00-00:00,2023-05-01T21:00:00-00:00,2023-05-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-3.59757,1
2023-05-01T07:00:00-00:00,2023-05-01T08:00:00-00:00,2023-05-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.68067,1
2023-05-01T11:00:00-00:00,2023-05-01T12:00:00-00:00,2023-05-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.93254,1
2023-05-02T05:00:00-00:00,2023-05-02T06:00:00-00:00,2023-05-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,48.89839,1
2023-05-01T08:00:00-00:00,2023-05-01T09:00:00-00:00,2023-05-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.77092,1
2023-05-01T09:00:00-00:00,2023-05-01T10:00:00-00:00,2023-05-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.58075,1
2023-05-01T13:00:00-00:00,2023-05-01T14:00:00-00:00,2023-05-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,57.6637,1
2023-05-01T16:00:00-00:00,2023-05-01T17:00:00-00:00,2023-05-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,4.4782,1
