INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2023-04-01T15:00:00-00:00,2023-04-01T16:00:00-00:00,2023-04-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,9.46124,1
2023-04-01T11:00:00-00:00,2023-04-01T12:00:00-00:00,2023-04-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,64.94767,1
2023-04-01T10:00:00-00:00,2023-04-01T11:00:00-00:00,2023-04-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,62.95985,1
2023-04-01T17:00:00-00:00,2023-04-01T18:00:00-00:00,2023-04-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-8.59242,1
2023-04-02T06:00:00-00:00,2023-04-02T07:00:00-00:00,2023-04-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,60.4654,1
2023-04-01T18:00:00-00:00,2023-04-01T19:00:00-00:00,2023-04-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-14.00607,1
2023-04-01T19:00:00-00:00,2023-04-01T20:00:00-00:00,2023-04-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-15.52065,1
2023-04-01T22:00:00-00:00,2023-04-01T23:00:00-00:00,2023-04-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-16.55287,1
2023-04-02T01:00:00-00:00,2023-04-02T02:00:00-00:00,2023-04-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,58.80472,1
2023-04-02T04:00:00-00:00,2023-04-02T05:00:00-00:00,2023-04-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,76.17518,1
2023-04-01T12:00:00-00:00,2023-04-01T13:00:00-00:00,2023-04-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,73.89604,1
2023-04-01T13:00:00-00:00,2023-04-01T14:00:00-00:00,2023-04-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,83.58499,1
2023-04-02T00:00:00-00:00,2023-04-02T01:00:00-00:00,2023-04-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-4.33007,1
2023-04-01T14:00:00-00:00,2023-04-01T15:00:00-00:00,2023-04-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,64.45519,1
2023-04-02T02:00:00-00:00,2023-04-02T03:00:00-00:00,2023-04-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,86.45979,1
2023-04-01T09:00:00-00:00,2023-04-01T10:00:00-00:00,2023-04-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,63.62864,1
2023-04-01T16:00:00-00:00,2023-04-01T17:00:00-00:00,2023-04-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-5.5815,1
2023-04-01T20:00:00-00:00,2023-04-01T21:00:00-00:00,2023-04-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-16.04647,1
2023-04-02T03:00:00-00:00,2023-04-02T04:00:00-00:00,2023-04-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,86.88761,1
2023-04-01T08:00:00-00:00,2023-04-01T09:00:00-00:00,2023-04-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,66.54764,1
2023-04-01T23:00:00-00:00,2023-04-02T00:00:00-00:00,2023-04-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-13.1898,1
2023-04-01T07:00:00-00:00,2023-04-01T08:00:00-00:00,2023-04-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,67.50415,1
2023-04-02T05:00:00-00:00,2023-04-02T06:00:00-00:00,2023-04-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,66.93164,1
2023-04-01T21:00:00-00:00,2023-04-01T22:00:00-00:00,2023-04-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-16.76179,1
2023-04-01T18:00:00-00:00,2023-04-01T19:00:00-00:00,2023-04-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-29.16286,2
2023-04-02T02:00:00-00:00,2023-04-02T03:00:00-00:00,2023-04-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-2.52795,2
2023-04-02T01:00:00-00:00,2023-04-02T02:00:00-00:00,2023-04-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-10.1609,2
2023-04-01T09:00:00-00:00,2023-04-01T10:00:00-00:00,2023-04-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
