INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2024-03-02T06:00:00-00:00,2024-03-02T07:00:00-00:00,2024-03-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,40.47226,1
2024-03-01T19:00:00-00:00,2024-03-01T20:00:00-00:00,2024-03-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-8.60751,1
2024-03-01T21:00:00-00:00,2024-03-01T22:00:00-00:00,2024-03-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-6.15635,1
2024-03-01T14:00:00-00:00,2024-03-01T15:00:00-00:00,2024-03-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,39.48404,1
2024-03-02T02:00:00-00:00,2024-03-02T03:00:00-00:00,2024-03-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,47.77513,1
2024-03-01T17:00:00-00:00,2024-03-01T18:00:00-00:00,2024-03-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-6.87876,1
2024-03-01T22:00:00-00:00,2024-03-01T23:00:00-00:00,2024-03-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-8.35687,1
2024-03-01T08:00:00-00:00,2024-03-01T09:00:00-00:00,2024-03-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.90438,1
2024-03-01T16:00:00-00:00,2024-03-01T17:00:00-00:00,2024-03-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,6.59613,1
2024-03-02T03:00:00-00:00,2024-03-02T04:00:00-00:00,2024-03-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,43.90959,1
