INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2023-09-01T19:00:00-00:00,2023-09-01T20:00:00-00:00,2023-09-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.42955,1
2023-09-01T10:00:00-00:00,2023-09-01T11:00:00-00:00,2023-09-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,37.55806,1
2023-09-02T06:00:00-00:00,2023-09-02T07:00:00-00:00,2023-09-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,44.24851,1
2023-09-01T21:00:00-00:00,2023-09-01T22:00:00-00:00,2023-09-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,31.39187,1
2023-09-01T22:00:00-00:00,2023-09-01T23:00:00-00:00,2023-09-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.61117,1
2023-09-02T02:00:00-00:00,2023-09-02T03:00:00-00:00,2023-09-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,57.31114,1
2023-09-01T18:00:00-00:00,2023-09-01T19:00:00-00:00,2023-09-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,25.53699,1
2023-09-01T11:00:00-00:00,2023-09-01T12:00:00-00:00,2023-09-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,37.86581,1
2023-09-01T20:00:00-00:00,2023-09-01T21:00:00-00:00,2023-09-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.88368,1
2023-09-02T05:00:00-00:00,2023-09-02T06:00:00-00:00,2023-09-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,48.00474,1
2023-09-01T13:00:00-00:00,2023-09-01T14:00:00-00:00,2023-09-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,43.46087,1
2023-09-01T14:00:00-00:00,2023-09-01T15:00:00-00:00,2023-09-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,38.10472,1
2023-09-01T15:00:00-00:00,2023-09-01T16:00:00-00:00,2023-09-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.50556,1
2023-09-02T01:00:00-00:00,2023-09-02T02:00:00-00:00,2023-09-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,52.76627,1
2023-09-02T04:00:00-00:00,2023-09-02T05:00:00-00:00,2023-09-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,52.59563,1
2023-09-01T09:00:00-00:00,2023-09-01T10:00:00-00:00,2023-09-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,39.49465,1
2023-09-01T12:00:00-00:00,2023-09-01T13:00:00-00:00,2023-09-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,44.00872,1
2023-09-01T16:00:00-00:00,2023-09-01T17:00:00-00:00,2023-09-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.54746,1
2023-09-01T17:00:00-00:00,2023-09-01T18:00:00-00:00,2023-09-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,24.28359,1
2023-09-02T00:00:00-00:00,2023-09-02T01:00:00-00:00,2023-09-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,47.50739,1
2023-09-01T07:00:00-00:00,2023-09-01T08:00:00-00:00,2023-09-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,42.77574,1
2023-09-01T08:00:00-00:00,2023-09-01T09:00:00-00:00,2023-09-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,40.02795,1
2023-09-01T23:00:00-00:00,2023-09-02T00:00:00-00:00,2023-09-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.61272,1
2023-09-02T03:00:00-00:00,2023-09-02T04:00:00-00:00,2023-09-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,53.30037,1
2023-09-02T02:00:00-00:00,2023-09-02T03:00:00-00:00,2023-09-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0.10482,2
2023-09-01T07:00:00-00:00,2023-09-01T08:00:00-00:00,2023-09-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-01T23:00:00-00:00,2023-09-02T00:00:00-00:00,2023-09-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-01T10:00:00-00:00,2023-09-01T11:00:00-00:00,2023-09-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-01T18:00:00-00:00,2023-09-01T19:00:00-00:00,2023-09-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-1.17187,2
2023-09-01T17:00:00-00:00,2023-09-01T18:00:00-00:00,2023-09-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-2.22619,2
2023-09-01T20:00:00-00:00,2023-09-01T21:00:00-00:00,2023-09-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.3393,2
2023-09-01T15:00:00-00:00,2023-09-01T16:00:00-00:00,2023-09-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.0775,2
2023-09-01T14:00:00-00:00,2023-09-01T15:00:00-00:00,2023-09-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-01T13:00:00-00:00,2023-09-01T14:00:00-00:00,2023-09-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-02T06:00:00-00:00,2023-09-02T07:00:00-00:00,2023-09-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-02T01:00:00-00:00,2023-09-02T02:00:00-00:00,2023-09-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-01T08:00:00-00:00,2023-09-01T09:00:00-00:00,2023-09-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-01T12:00:00-00:00,2023-09-01T13:00:00-00:00,2023-09-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-02T05:00:00-00:00,2023-09-02T06:00:00-00:00,2023-09-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-02T04:00:00-00:00,2023-09-02T05:00:00-00:00,2023-09-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-01T22:00:00-00:00,2023-09-01T23:00:00-00:00,2023-09-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-01T09:00:00-00:00,2023-09-01T10:00:00-00:00,2023-09-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-01T19:00:00-00:00,2023-09-01T20:00:00-00:00,2023-09-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.82998,2
2023-09-01T16:00:00-00:00,2023-09-01T17:00:00-00:00,2023-09-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-1.71359,2
2023-09-01T11:00:00-00:00,2023-09-01T12:00:00-00:00,2023-09-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2023-09-01T21:00:00-00:00,2023-09-01T22:00:00-00:00,2023-09-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.01864,2
2023-09-02T03:00:00-00:00,2023-09-02T04:00:00-00:00,2023-09-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
