INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2024-09-01T15:00:00-00:00,2024-09-01T16:00:00-00:00,2024-09-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,11.8218,1
2024-09-01T09:00:00-00:00,2024-09-01T10:00:00-00:00,2024-09-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.90584,1
2024-09-02T01:00:00-00:00,2024-09-02T02:00:00-00:00,2024-09-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,49.1287,1
2024-09-01T07:00:00-00:00,2024-09-01T08:00:00-00:00,2024-09-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,36.01235,1
2024-09-01T10:00:00-00:00,2024-09-01T11:00:00-00:00,2024-09-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.86443,1
2024-09-01T12:00:00-00:00,2024-09-01T13:00:00-00:00,2024-09-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.34921,1
2024-09-02T04:00:00-00:00,2024-09-02T05:00:00-00:00,2024-09-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.16418,1
2024-09-02T06:00:00-00:00,2024-09-02T07:00:00-00:00,2024-09-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,38.65385,1
2024-09-01T17:00:00-00:00,2024-09-01T18:00:00-00:00,2024-09-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,5.77646,1
2024-09-01T23:00:00-00:00,2024-09-02T00:00:00-00:00,2024-09-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,24.07234,1
2024-09-01T08:00:00-00:00,2024-09-01T09:00:00-00:00,2024-09-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.07284,1
2024-09-01T13:00:00-00:00,2024-09-01T14:00:00-00:00,2024-09-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.35272,1
2024-09-01T16:00:00-00:00,2024-09-01T17:00:00-00:00,2024-09-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,8.51512,1
2024-09-02T00:00:00-00:00,2024-09-02T01:00:00-00:00,2024-09-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,32.05802,1
2024-09-02T02:00:00-00:00,2024-09-02T03:00:00-00:00,2024-09-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,50.39969,1
2024-09-02T03:00:00-00:00,2024-09-02T04:00:00-00:00,2024-09-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,44.65147,1
2024-09-02T05:00:00-00:00,2024-09-02T06:00:00-00:00,2024-09-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,39.15457,1
2024-09-01T20:00:00-00:00,2024-09-01T21:00:00-00:00,2024-09-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,7.87759,1
2024-09-01T21:00:00-00:00,2024-09-01T22:00:00-00:00,2024-09-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,8.96182,1
2024-09-01T11:00:00-00:00,2024-09-01T12:00:00-00:00,2024-09-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.82414,1
2024-09-01T18:00:00-00:00,2024-09-01T19:00:00-00:00,2024-09-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,7.40053,1
2024-09-01T22:00:00-00:00,2024-09-01T23:00:00-00:00,2024-09-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,12.45674,1
2024-09-01T14:00:00-00:00,2024-09-01T15:00:00-00:00,2024-09-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.53802,1
2024-09-01T19:00:00-00:00,2024-09-01T20:00:00-00:00,2024-09-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,7.43835,1
2024-09-01T09:00:00-00:00,2024-09-01T10:00:00-00:00,2024-09-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2024-09-01T13:00:00-00:00,2024-09-01T14:00:00-00:00,2024-09-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2024-09-02T06:00:00-00:00,2024-09-02T07:00:00-00:00,2024-09-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,2.68026,2
2024-09-01T23:00:00-00:00,2024-09-02T00:00:00-00:00,2024-09-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-2.5588,2
2024-09-02T03:00:00-00:00,2024-09-02T04:00:00-00:00,2024-09-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2024-09-02T01:00:00-00:00,2024-09-02T02:00:00-00:00,2024-09-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2024-09-02T02:00:00-00:00,2024-09-02T03:00:00-00:00,2024-09-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2024-09-01T19:00:00-00:00,2024-09-01T20:00:00-00:00,2024-09-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-6.71961,2
2024-09-01T20:00:00-00:00,2024-09-01T21:00:00-00:00,2024-09-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-6.62371,2
2024-09-01T22:00:00-00:00,2024-09-01T23:00:00-00:00,2024-09-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-9.55797,2
2024-09-01T07:00:00-00:00,2024-09-01T08:00:00-00:00,2024-09-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2024-09-01T08:00:00-00:00,2024-09-01T09:00:00-00:00,2024-09-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2024-09-01T11:00:00-00:00,2024-09-01T12:00:00-00:00,2024-09-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2024-09-01T16:00:00-00:00,2024-09-01T17:00:00-00:00,2024-09-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-5.21818,2
2024-09-02T00:00:00-00:00,2024-09-02T01:00:00-00:00,2024-09-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-4.5301,2
2024-09-01T10:00:00-00:00,2024-09-01T11:00:00-00:00,2024-09-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2024-09-02T04:00:00-00:00,2024-09-02T05:00:00-00:00,2024-09-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2024-09-01T17:00:00-00:00,2024-09-01T18:00:00-00:00,2024-09-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-6.41174,2
2024-09-01T12:00:00-00:00,2024-09-01T13:00:00-00:00,2024-09-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,0,2
2024-09-01T14:00:00-00:00,2024-09-01T15:00:00-00:00,2024-09-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCC,LMP_CONG_PRC,0096WD_7_N001,ALL,1,-0.10501,2
