INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2023-08-01T14:00:00-00:00,2023-08-01T15:00:00-00:00,2023-08-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,56.17909,1
2023-08-01T18:00:00-00:00,2023-08-01T19:00:00-00:00,2023-08-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,48.69346,1
2023-08-02T03:00:00-00:00,2023-08-02T04:00:00-00:00,2023-08-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,74.53873,1
2023-08-02T04:00:00-00:00,2023-08-02T05:00:00-00:00,2023-08-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,70.14286,1
2023-08-01T19:00:00-00:00,2023-08-01T20:00:00-00:00,2023-08-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,49.72108,1
2023-08-01T23:00:00-00:00,2023-08-02T00:00:00-00:00,2023-08-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,53.37802,1
2023-08-01T07:00:00-00:00,2023-08-01T08:00:00-00:00,2023-08-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,55.27889,1
2023-08-01T13:00:00-00:00,2023-08-01T14:00:00-00:00,2023-08-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,61.36113,1
2023-08-01T09:00:00-00:00,2023-08-01T10:00:00-00:00,2023-08-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,50.49097,1
2023-08-01T11:00:00-00:00,2023-08-01T12:00:00-00:00,2023-08-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,50.53141,1
2023-08-01T20:00:00-00:00,2023-08-01T21:00:00-00:00,2023-08-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,47.94735,1
2023-08-01T17:00:00-00:00,2023-08-01T18:00:00-00:00,2023-08-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,48.77639,1
2023-08-02T02:00:00-00:00,2023-08-02T03:00:00-00:00,2023-08-01,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,94.36875,1
2023-08-01T12:00:00-00:00,2023-08-01T13:00:00-00:00,2023-08-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,50.67516,1
2023-08-01T15:00:00-00:00,2023-08-01T16:00:00-00:00,2023-08-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,50.71842,1
2023-08-02T05:00:00-00:00,2023-08-02T06:00:00-00:00,2023-08-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,59.38133,1
2023-08-01T16:00:00-00:00,2023-08-01T17:00:00-00:00,2023-08-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,49.38796,1
2023-08-01T21:00:00-00:00,2023-08-01T22:00:00-00:00,2023-08-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,49.65974,1
2023-08-01T22:00:00-00:00,2023-08-01T23:00:00-00:00,2023-08-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,50.61623,1
2023-08-02T00:00:00-00:00,2023-08-02T01:00:00-00:00,2023-08-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,62.82107,1
2023-08-02T01:00:00-00:00,2023-08-02T02:00:00-00:00,2023-08-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,74.07437,1
2023-08-01T08:00:00-00:00,2023-08-01T09:00:00-00:00,2023-08-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,52.07623,1
2023-08-01T10:00:00-00:00,2023-08-01T11:00:00-00:00,2023-08-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,50.57157,1
2023-08-02T06:00:00-00:00,2023-08-02T07:00:00-00:00,2023-08-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,58.65718,1
